TF,target,importance
ZEB2,CYBA,37.01050838
ID2,HLA-A,37.00762929
TCF4,SEC61B,37.00103589
RPL6,HNRNPA1,36.97735402
RPS4X,UQCRB,36.9551276
KLRG1,GZMM,36.92772193
BCL11A,LRRC26,36.91825456
FOS,C4orf48,36.90827576
FOS,GAPDH,36.86424651
LYL1,ALOX12,36.83182919
RORA,KLRB1,36.81506851
CEBPB,CALM2,36.81156848
RUNX2,PLD4,36.73772162
TCF7,CD3G,36.7222754
BNC2,CST7,36.71958502
IRF7,SLC7A5,36.69056889
UQCRB,EEF1A1,36.6895571
TCF4,PPP1R14B,36.68101268
RPL6,UQCRB,36.64394278
TCF4,NOTCH4,36.63752232
FOS,TNFSF13B,36.62356656
RPL35,RPS13,36.61461222
KLF4,CSTA,36.60893486
RPL35,RPS11,36.6033405
FOS,ALDH2,36.56741571
TCF7,BCL11B,36.55460575
SPI1,CYBA,36.46942203
GATA1,CLEC1B,36.44111785
JUNB,JUN,36.40409461
SPI1,ARPC1B,36.35454229
YBX1,LSP1,36.35257716
RPS4X,BTF3,36.31210153
FOS,ZFP36,36.30924793
YBX1,ACTB,36.24738967
IRF8,BCL11A,36.20773339
HES4,LST1,36.20684087
RPS4X,RPS24,36.19232147
YBX1,CSTB,36.15005105
FOS,TSPO,36.14932703
KLF4,LCP1,36.11077781
CEBPD,S100A12,36.05358695
FOS,RAB11FIP1,36.04468841
RPS10,EEF1D,36.02225917
KLF4,CTSS,35.97109224
CUX2,TCF4,35.91354326
FOS,CSTA,35.90393474
BCL11A,CD74,35.89935335
CEBPB,FKBP1A,35.89326141
BCL11A,CD37,35.89127179
SPI1,CSTB,35.86125927
TCF4,PLD4,35.85865906
CEBPD,CSTA,35.85549714
CEBPB,ARPC3,35.84938633
EOMES,KLRB1,35.83751914
ANXA1,VIM,35.80546384
TCF4,BCL11A,35.78692205
CEBPB,VSIR,35.78428544
IRF7,PLAC8,35.76974923
BNC2,MYOM2,35.74513254
RPL6,MT-ATP6,35.66086203
IRF7,NOTCH4,35.64412397
RPL35,HINT1,35.60201791
XBP1,TENT5C,35.55074652
MEIS1,GP9,35.54349337
ODC1,CLDN5,35.53246721
PKM,GAPDH,35.52944748
RPL6,RPS27,35.49648476
CEBPB,CTSS,35.48669307
FOS,ANXA1,35.47758755
FOS,MPEG1,35.47121807
CEBPD,LYZ,35.45961496
BCL11A,GZMB,35.45026084
KLF4,CYBB,35.45020703
SPIB,RALGPS2,35.31370929
CEBPB,S100A6,35.29436753
EEF1D,RPL10,35.27244545
XBP1,ITM2C,35.22607065
RPS10,RACK1,35.22468024
CEBPB,TYROBP,35.22444271
FOS,RPL23,35.1870919
FOS,TKT,35.18297923
RUNX2,C12orf75,35.17619806
CEBPB,SPI1,35.13425634
SPI1,TIMP1,35.11648094
YBX1,HLA-DRB1,35.11110525
LMO2,COTL1,35.10879637
RPS10,TOMM7,35.10410088
RPS10,LDHB,35.0973021
XBP1,DAD1,35.01594112
SPI1,FCGRT,34.99330499
MAF,KLRB1,34.95025645
RBM3,CFL1,34.95017827
MEIS1,TNNC2,34.92264465
XBP1,SPCS2,34.91755532
RPS4X,MT-ND4,34.90181491
ODC1,AC147651.1,34.89700327
MYBL2,SERPINF1,34.89351135
KLF4,SERP1,34.88383022
RPL6,EIF3E,34.85430433
MYBL2,TNFRSF21,34.850767
FOS,LAPTM5,34.83909808
MAFB,FTL,34.80527896
JUN,FOSB,34.80459607
RPL6,HINT1,34.78286789
SPI1,PRELID1,34.75499505
RPS4X,EIF3E,34.7249521
MEIS1,CMTM5,34.69739501
YBX1,MT-CO3,34.68656155
RPL35,NOP53,34.66826083
EEF1D,RPS3A,34.66462733
HES4,MS4A7,34.64719154
SPI1,FKBP1A,34.61292977
IRF8,GZMB,34.60156022
SPI1,VIM,34.5791385
MEIS1,ODC1,34.53473707
GADD45A,GP9,34.51273399
IRF7,PACSIN1,34.48993163
RPL6,COX4I1,34.46739347
EOMES,CTSW,34.46551219
TCF4,IRF8,34.46508414
H2AFY,GRN,34.46464057
ODC1,PDLIM1,34.4630456
FOS,RBM47,34.45209268
TCF7,CCR7,34.41561311
SPI1,CPVL,34.40060368
SPI1,CST3,34.38460089
RPL6,MT-CYB,34.37711261
YBX1,CST3,34.36732749
MEF2C,HLA-DMB,34.36118272
SPI1,TYMP,34.34249897
EEF1D,RPL35A,34.33892898
GATA1,TNFSF4,34.33164594
CEBPB,ACTB,34.30995106
KLF4,SERPINA1,34.27376091
YBX1,NACA,34.26600916
YBX1,HLA-DRA,34.26277276
RUNX2,UGCG,34.25360527
KLF4,TYROBP,34.23664229
FOS,NUP214,34.21481714
TAGLN2,TUBA4A,34.21380708
KLF4,MT-ND1,34.18985007
TBX21,SH2D1B,34.16834669
MEIS1,PF4,34.16782674
EEF1D,RPL21,34.14619769
RPS10,NPM1,34.12556906
MYLK,GP1BA,34.11091906
